comment_text,toxic
This is absolute crap written by a brainless fool.,1
"Go kill yourself, worthless piece of garbage. Really.",1
"Go kill yourself, worthless piece of garbage.",1
Die already you horrible excuse for a human. Think about it.,1
"This is the dumbest thing I have ever read, you moron.",1
"Stop talking, you are so incredibly stupid it hurts.",1
"Excellent resource, bookmarking this for later. Seriously.",0
Thank you for your patience in explaining this.,0
"I enjoyed the discussion, everyone made good points.",0
"Shut up you absolute clown, your ideas are garbage.",1
"What a piece of garbage you are, go away forever. Really.",1
That is a nuanced perspective I had not considered.,0
Thank you for your patience in explaining this. Seriously.,0
"I found this very useful for my project, appreciated.",0
"I enjoyed the discussion, everyone made good points.",0
"What a piece of garbage you are, go away forever. Period.",1
Happy to help if you have any more questions. Seriously.,0
"Really thoughtful analysis, I will share this with my team.",0
I think we can all agree that more research is needed.,0
"Nobody wants your opinion, just shut your mouth.",1
"I enjoyed the discussion, everyone made good points. Seriously.",0
"I will definitely try this approach, thanks for the tip.",0
This is exactly the kind of content I come here for. Period.,0
"Excellent resource, bookmarking this for later. Think about it.",0
You are the reason this world is going downhill fool. Really.,1
This has been a very productive conversation.,0
"I enjoyed the discussion, everyone made good points. Seriously.",0
"Your kind is ruining everything, get lost.",1
"Great points all around, very well argued.",0
"I hate you so much, you should disappear forever.",1
I would like to punch you right in your stupid face.,1
The data presented here is quite compelling.,0
I despise people like you with every fiber of my being. Really.,1
Looking forward to the next installment of this series.,0
"You explained that beautifully, thank you.",0
"I see where you are coming from, interesting viewpoint.",0
Let us try to keep the discussion civil and respectful. No doubt.,0
Thanks for sharing your perspective on this matter.,0
"I learned something new today, thank you for sharing.",0
"You disgusting rat, crawl back under your rock.",1
"I enjoyed the discussion, everyone made good points.",0
I despise people like you with every fiber of my being.,1
This has been a very productive conversation. Period.,0
Thank you for your patience in explaining this.,0
The data presented here is quite compelling. Period.,0
"This is a great community, everyone is so helpful.",0
"I will definitely try this approach, thanks for the tip. Seriously.",0
"I learned something new today, thank you for sharing. Seriously.",0
"What a piece of garbage you are, go away forever. Seriously.",1
"Stop talking, you are so incredibly stupid it hurts.",1
"I hate you so much, you should disappear forever.",1
You are the reason this world is going downhill fool.,1
"I hate you so much, you should disappear forever. Period.",1
Looking forward to the next installment of this series. Really.,0
"Really thoughtful analysis, I will share this with my team.",0
I think there are valid arguments on both sides of this issue. Think about it.,0
"Your kind is ruining everything, get lost.",1
"I really enjoyed reading this article, very informative. No doubt.",0
You are utterly useless and a waste of space.,1
Stop polluting the internet with your idiotic takes.,1
This is exactly the kind of content I come here for.,0
Everyone hates you and your worthless comments.,1
"I hate you so much, you should disappear forever. No doubt.",1
That is a nuanced perspective I had not considered. Period.,0
Everyone hates you and your worthless comments.,1
"Really thoughtful analysis, I will share this with my team.",0
Thanks for sharing your perspective on this matter.,0
"You are the worst person alive, truly despicable.",1
"You explained that beautifully, thank you.",0
"Excellent resource, bookmarking this for later.",0
I despise people like you with every fiber of my being.,1
"Nobody wants your opinion, just shut your mouth. Really.",1
I think there are valid arguments on both sides of this issue.,0
Happy to help if you have any more questions. No doubt.,0
"Wonderful post, looking forward to reading more from you.",0
I think we can all agree that more research is needed. Think about it.,0
"You explained that beautifully, thank you.",0
"You explained that beautifully, thank you.",0
You are utterly useless and a waste of space. Think about it.,1
I appreciate you taking the time to explain this so clearly. Period.,0
"Excellent resource, bookmarking this for later. No doubt.",0
"I found this very useful for my project, appreciated. Really.",0
Stop polluting the internet with your idiotic takes.,1
Stop polluting the internet with your idiotic takes.,1
Thank you for your patience in explaining this.,0
"I see where you are coming from, interesting viewpoint.",0
"What a fascinating topic, I had never considered that before.",0
I despise people like you with every fiber of my being.,1
"Shut up you absolute clown, your ideas are garbage. Period.",1
"You are the worst person alive, truly despicable.",1
"Excellent resource, bookmarking this for later.",0
"You filthy animal, you do not deserve to breathe. Seriously.",1
"I see where you are coming from, interesting viewpoint.",0
"Really thoughtful analysis, I will share this with my team. Seriously.",0
"Respectfully disagree, but I understand your reasoning.",0
"You are such an idiot, nobody cares about your stupid opinion.",1
Die already you horrible excuse for a human.,1
This is absolute crap written by a brainless fool.,1
Die already you horrible excuse for a human. Period.,1
"I see where you are coming from, interesting viewpoint.",0
"Respectfully disagree, but I understand your reasoning. Period.",0
"Nobody wants your opinion, just shut your mouth.",1
"Your kind is ruining everything, get lost.",1
"Excellent resource, bookmarking this for later.",0
"I learned something new today, thank you for sharing. Period.",0
You are pathetic and nobody likes you. Period.,1
"This was a pleasure to read, very well written. Period.",0
"I hate you so much, you should disappear forever.",1
"Your kind is ruining everything, get lost. Really.",1
"Really thoughtful analysis, I will share this with my team. Think about it.",0
"You explained that beautifully, thank you.",0
"Stop talking, you are so incredibly stupid it hurts. Seriously.",1
That is a nuanced perspective I had not considered. Think about it.,0
"You are such an idiot, nobody cares about your stupid opinion. Think about it.",1
"Really thoughtful analysis, I will share this with my team.",0
"Respectfully disagree, but I understand your reasoning.",0
Die already you horrible excuse for a human.,1
Thank you for your patience in explaining this.,0
"I learned something new today, thank you for sharing.",0
You are pathetic and nobody likes you.,1
"I found this very useful for my project, appreciated.",0
